title,url
Moebius (Jean Giraud) Style,https://civitai.com/models/74776?modelVersionId=154071
Jorg Karg (Monochrome Surrealism) [SDXL],https://civitai.com/models/186689?modelVersionId=209618
Pablo Picasso ∞ SD XL 1.0,https://civitai.com/models/162136?modelVersionId=182554
Psychedelic Noir,https://civitai.com/models/120638?modelVersionId=140194
Soviet poster XL,https://civitai.com/models/183892?modelVersionId=206390
VanGoghBrushwork SD XL 1.0,https://civitai.com/models/157780
Flash Photo SDXL,https://civitai.com/models/131849?modelVersionId=203379
Fx-Monsters Meatsack,https://civitai.com/models/86377?modelVersionId=198931
F0T0PR1ZM XL,https://civitai.com/models/170036?modelVersionId=191086
LeLo - LEGO LoRA for XL & SD1.5,https://civitai.com/models/92444?modelVersionId=157536
PE Neon Sign [Style],https://civitai.com/models/137160
Perfect Eyes XL,https://civitai.com/models/118427
WowifierXL,https://civitai.com/models/117041
White Background,https://civitai.com/models/119388/white-background
Fx-Monsters,https://civitai.com/models/86377?modelVersionId=138388
PS1 Graphics SDXL,https://civitai.com/models/129556?modelVersionId=147912
Voxel XL,https://civitai.com/models/118536/voxel-xl
Crayon Style,https://civitai.com/models/120853?modelVersionId=131462
Junji Ito Style (XL),https://civitai.com/models/79155?modelVersionId=131386
Detail Tweaker XL,https://civitai.com/models/122359?modelVersionId=135867
Juggernaut Cinematic XL LoRA,https://civitai.com/models/120663?modelVersionId=131991
John Berkey Style,https://civitai.com/models/71182?modelVersionId=153838
Folk Art,https://civitai.com/models/98226?modelVersionId=153770
PE Shitty FanArt,https://civitai.com/models/128456
Salvador Dali SDXL 1.0 art style lora,https://civitai.com/models/118992
